Keyword	formatted_address	geometry	name	place_id	rating	user_ratings_total	Longitude	Latitude
Fort l'Ecluse de Léaz, Léaz, France	Route de Genève, 01200 Léaz, France	{'location': {'lat': 46.1202637, 'lng': 5.8919827}, 'viewport': {'northeast': {'lat': 46.12159182989271, 'lng': 5.893350279892721}, 'southwest': {'lat': 46.11889217010727, 'lng': 5.890650620107277}}}	Fort l'Ecluse	ChIJAUjDteWDjEcR25CRdrHZuGQ	4.4	796	5.8919827	46.1202637
Musée Jean de la Fontaine de Château-Thierry, Château Thierry, France	12 Rue Jean de la Fontaine, 02400 Château-Thierry, France	{'location': {'lat': 49.0467592, 'lng': 3.3999789}, 'viewport': {'northeast': {'lat': 49.04808092989272, 'lng': 3.401432329892722}, 'southwest': {'lat': 49.04538127010728, 'lng': 3.398732670107278}}}	Musée Jean de La Fontaine	ChIJHcw8WSPm6EcR3YOG8p-PuQ0	4.2	257	3.3999789	49.0467592
Musée de la Bresse à Saint Cyr sur Menthon, Saint Cyr sur Menthon, France	987 Chemin des Seiglières, 01380 Saint-Cyr-sur-Menthon, France	{'location': {'lat': 46.2826186, 'lng': 4.984171}, 'viewport': {'northeast': {'lat': 46.28396842989272, 'lng': 4.985520829892721}, 'southwest': {'lat': 46.28126877010727, 'lng': 4.982821170107277}}}	Musée, Domaine des Saveurs - Les Planons	ChIJtSgXL41C80cREnATxsrifnI	4.4	220	4.984171	46.2826186
Musée de la Bresse à Saint Cyr sur Menthon, Saint Cyr sur Menthon, France	A40 - Sens Bellegarde - Mâcon, 01380 Saint-Cyr-sur-Menthon, France	{'location': {'lat': 46.28033749999999, 'lng': 4.983784399999999}, 'viewport': {'northeast': {'lat': 46.28173237989272, 'lng': 4.985117979892721}, 'southwest': {'lat': 46.27903272010728, 'lng': 4.982418320107278}}}	APRR - A40 - Aire du Musée de la Bresse	ChIJC94O1-xC80cRHHrIJjJKHJw	3.7	64	4.983784399999999	46.28033749999999
Musée Saint Léger de Soissons, Soissons, France	2 Rue de la Congrégation, 02200 Soissons, France	{'location': {'lat': 49.38437039999999, 'lng': 3.327236}, 'viewport': {'northeast': {'lat': 49.38571822989272, 'lng': 3.328530829892722}, 'southwest': {'lat': 49.38301857010728, 'lng': 3.325831170107278}}}	Musée d'art et d'histoire Saint-Léger - Musées de Soissons	ChIJba_CxbBe6EcRK1BBr_zXtbQ	4.4	92	3.327236	49.38437039999999
Musée Saint Léger de Soissons, Soissons, France	11 Rue Saint-Jean, 02200 Soissons, France	{'location': {'lat': 49.3761099, 'lng': 3.3250118}, 'viewport': {'northeast': {'lat': 49.37770342989273, 'lng': 3.326008879892723}, 'southwest': {'lat': 49.37500377010728, 'lng': 3.323309220107278}}}	Arsenal Saint-Jean - Musées de Soissons	ChIJlxg2fche6EcRAWJyAepS7vE	4.6	27	3.3250118	49.3761099
Château de Voltaire à Ferney, Ferney-Voltaire, France	Allée du Château, 01210 Ferney-Voltaire, France	{'location': {'lat': 46.2574406, 'lng': 6.1036109}, 'viewport': {'northeast': {'lat': 46.25922192989272, 'lng': 6.104816379892722}, 'southwest': {'lat': 46.25652227010728, 'lng': 6.102116720107278}}}	Château de Voltaire	ChIJgRRBtfRjjEcRyXfUyeTpcR0	4.3	587	6.1036109	46.2574406
Aigles de Château-Thierry, Château Thierry, France	Cours Renan, 02400 Château-Thierry, France	{'location': {'lat': 49.0479461, 'lng': 3.4061096}, 'viewport': {'northeast': {'lat': 49.04930387989272, 'lng': 3.407412829892722}, 'southwest': {'lat': 49.04660422010728, 'lng': 3.404713170107278}}}	Aigles de Château-Thierry	ChIJrSUhPzzm6EcRX4Gvbqk5_0c	4.2	476	3.4061096	49.0479461
Aigles de Château-Thierry, Château Thierry, France	16 Place de l'Hôtel de ville, 02400 Château-Thierry, France	{'location': {'lat': 49.0470491, 'lng': 3.4021843}, 'viewport': {'northeast': {'lat': 49.04827337989271, 'lng': 3.403861979892722}, 'southwest': {'lat': 49.04557372010727, 'lng': 3.401162320107278}}}	Château de Château Thierry	ChIJp-1Mk4Lo6EcRKhKRaQYgcHg	4.4	246	3.4021843	49.0470491
Cascades de Trévoux, Trévoux, France	1 Allée des Cascades, 01600 Trévoux, France	{'location': {'lat': 45.93862, 'lng': 4.764258}, 'viewport': {'northeast': {'lat': 45.93961187989272, 'lng': 4.765843179892721}, 'southwest': {'lat': 45.93691222010727, 'lng': 4.763143520107278}}}	Base de loisirs Les Cascades	ChIJY2Kw8GeQ9EcRvfUWAJkCpB4	3.6	724	4.764258	45.93862
